Запуск аудита: 20.08.2026, 17:39:01
Эталон: C:\Users\123\Desktop\coursera-bulk-course-adder\All courses.xlsx
Пар «курс + провайдер»: 36
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к проверке: 100
Режим: ТОЛЬКО ЧТЕНИЕ
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\АУДИТ_2026-08-20_17-39-01-810
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\АУДИТ_2026-08-20_17-39-01-810\console.txt
[77/100] Q University ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[78/100] SDU University ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[79/100] Алматинский гуманитарно-экономический университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[80/100] Екибастузский инженерно-технический институт имени К.И. Сатпаева ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[81/100] Казахский автомобильно-дорожный институт имени Л.Б. Гончарова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[82/100] Кокшетауский университет имени А. Мырзахметова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[83/100] Костанайский социально-технический университет имени академика Зулхарнай Алдамжар ... ERROR: Не найден элемент с точным названием: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
[84/100] Международный казахско-турецкий университет имени Х.А.Ясави ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[85/100] Международный Таразский инновационный институт имени Ш.Муртазы ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[86/100] Региональный инновационный университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[87/100] Университет «Мирас» ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[88/100] Университет «Туран» ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[89/100] Университет «Туран-Астана» ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[90/100] Университет дружбы народов имени академика А. Куатбекова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[91/100] Евразийский гуманитарный институт имени А.Кусаинова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[92/100] Alikhan Bokeikhan University ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[93/100] Казахстанско-Немецкий университет в Алматы ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[94/100] Каспийский общественный университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[95/100] Западно-Казахстанский инновационно-технологический университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[96/100] Академия «Bolashaq» ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[97/100] Карагандинский университет Казпотребсоюза ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[98/100] Костанайский инженерно-экономический университет имени М. Дулатова ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0
[99/100] Центрально-Казахстанская академия ... mismatch | на странице: 25 | считано: 0 | совпало: 0/36 | нет: 36 | лишних: 0 | неверный провайдер: 0
[100/100] Шымкентский университет ... match | на странице: 36 | считано: 36 | совпало: 36/36 | нет: 0 | лишних: 0 | неверный провайдер: 0

Итог: { match: 95, mismatch: 4, error: 1 }
Отчёт Excel: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\АУДИТ_2026-08-20_17-39-01-810\report.xlsx
Лог консоли UTF-8: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\АУДИТ_2026-08-20_17-39-01-810\console.txt
